"query.text","query.parsed.housenumber","query.parsed.street","query.parsed.postcode","query.parsed.city","query.parsed.state","query.parsed.expected_type","datasource.sourcename","datasource.attribution","datasource.license","datasource.url","country","country_code","state","county","city","hamlet","postcode","street","housenumber","lon","lat","state_code","district","result_type","formatted","address_line1","address_line2","category","timezone.name","timezone.offset_STD","timezone.offset_STD_seconds","timezone.offset_DST","timezone.offset_DST_seconds","timezone.abbreviation_STD","timezone.abbreviation_DST","plus_code","plus_code_short","rank.importance","rank.popularity","rank.confidence","rank.confidence_city_level","rank.confidence_street_level","rank.match_type","place_id","distance","name","suburb","municipality","village","query.parsed.unit","ref","query.parsed.country","quarter","query.parsed.county"
"327 Capital AVE, #S.W., Battle Creek, MI 49015","327","capital ave ","49015","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","Old Mill Gardens","49015","Capital Avenue Southwest","327","-85.19189983922817","42.3117682","MI","Battle Creek","building","327 Capital Avenue Southwest, Battle Creek, MI 49015, United States of America","327 Capital Avenue Southwest","Battle Creek, MI 49015, United States of America","building","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP8R65+P6","65+P6, 49015 Battle Creek, United States","0.00000999999999995449","1.960679705852377","0.7","1","0.7","full_match","51ee654316484c55c05966773705e8274540f00102f901ec3ca13d00000000c00203e203246f70656e7374726565746d61703a616464726573733a7761792f31303333393737303638","","","","","","","","","",""
"5620 S. Cedar ST, Lansing, MI 48911","5620","s. cedar st","48911","lansing","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ingham County","Lansing","","48911","South Cedar Street","5620","-84.54766541990487","42.67617008155237","MI","Kaynorth","building","5620 South Cedar Street, Lansing, MI 48911, United States of America","5620 South Cedar Street","Lansing, MI 48911, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQMFG2+FW","MFG2+FW, 48911 Lansing, United States","-0.74","2.21546100045","1","1","1","full_match","510fe942f30c2355c0598a66c1bd8c564540f00102f9019df6853400000000c00203","","","","","","","","","",""
"190 N. 20th ST, Battle Creek, MI 49015","190","n. 20th st","49015","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","Springfield Place","49015","North 20th Street","190","-85.219295875","42.31166425","MI","","building","190 North 20th Street, Battle Creek, MI 49015, United States of America","190 North 20th Street","Battle Creek, MI 49015, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP8Q6J+M7","8Q6J+M7, 49015 Battle Creek, United States","-0.74","1.8962999094855937","1","1","1","full_match","5174d190f1084e55c0598b8a389de4274540f00102f901c07bf91800000000c00203","","","","","","","","","",""
"3590 Ann Arbor Road, Jackson, MI 49202","3590","ann arbor road","49202","jackson","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Jackson County","Leoni Township","","49202","Ann Arbor Road","3590","-84.3506047800937","42.25927273457949","MI","","building","3590 Ann Arbor Road, Leoni Township, MI 49202, United States of America","3590 Ann Arbor Road","Leoni Township, MI 49202, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQ7J5X+PQ","","-0.74","2.113850704301501","1","1","1","full_match","51b814084f701655c059b7e155d92f214540f00102f90140f4790a00000000c00203","","","","","","","","","",""
"1103 N Centerville RD, Sturgis, MI 49091","1103","n centerville rd","49091","sturgis","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Saint Joseph County","Sturgis","","49091","","","-85.4191482","41.799217","MI","","postcode","Sturgis, MI 49091, United States of America","Sturgis, MI 49091","United States of America","administrative","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HPQHXJ+M8","+M8, 49091 Sturgis, United States","0.6014203248615689","1.7403028453456983","0.25","1","","match_by_postcode","5158cbf852d35a55c05920b41ebe4ce64440f00101f901240f020000000000c00207","0","","","","","","","","",""
"286 Burke ST, Bldg , River Rouge, MI 48218","286","burke st","48218","river rouge","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","River Rouge","","48218","Burke Street","286","-83.13564133682985","42.270183306912664","MI","","building","286 Burke Street, River Rouge, MI 48218, United States of America","286 Burke Street","River Rouge, MI 48218, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR7VC7+3P","C7+3P River Rouge, Wayne County, United States","-0.8399999999999999","4.094452679673881","1","1","1","full_match","51e06a0059aec854c059b98ed95d95224540f00102f9011ac55e1900000000c00203","","","","","","","","","",""
"306 W. Columbia AVE, Battle Creek, MI 49015","306","w. columbia ave","49015","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","Lakeview","49015","West Columbia Avenue","306","-85.20359427272727","42.298656","MI","","building","306 West Columbia Avenue, Battle Creek, MI 49015, United States of America","306 West Columbia Avenue","Battle Creek, MI 49015, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7QXW+FH","7QXW+FH, 49015 Battle Creek, United States","-0.74","1.9363612371227386","1","1","1","full_match","510fc145b0074d55c05989601c5c3a264540f00102f90140b60e0100000000c00203","","","","","","","","","",""
"26831 Michigan AVE, Inkster, MI 48141","26831","michigan ave","48141","inkster","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Inkster","","48141","Michigan Avenue","26831","-83.30320747959183","42.29544895918367","MI","","building","26831 Michigan Avenue, Inkster, MI 48141, United States of America","26831 Michigan Avenue","Inkster, MI 48141, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR7MWW+5P","WW+5P Inkster, Wayne County, United States","-0.8399999999999999","4.014826469692083","1","1","1","full_match","51f82f58c067d354c05962aa8045d1254540f00102f9017dd05b0f00000000c00203","","","","","","","","","",""
"2245 W. Columbia, Suite 119 & 120, Battle Creek, MI 49015","2245","w. columbia","49015","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","","49015","West Columbia Avenue","","-85.212855","42.298391","MI","Battle Creek","street","West Columbia Avenue, Battle Creek, MI 49015, United States of America","West Columbia Avenue","Battle Creek, MI 49015, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7QXP+9V","7QXP+9V, 49015 Battle Creek, United States","","1.9240347701391145","0.35","1","0.7","match_by_street","5191f2936a9f4d55c059db3521ad31264540c00204e203266f70656e7374726565746d61703a7374726565743a706f6c796c696e653a3239303531343730","","","","","","","","","",""
"1525 W. Michigan Avenue, Suite 11 & 13, Battle Creek, MI 49037","1525","w. michigan avenue","49037","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","Urbandale","49037","Michigan Avenue West","1525","-85.2359395","42.345996","MI","","building","1525 Michigan Avenue West, Battle Creek, MI 49037, United States of America","1525 Michigan Avenue West","Battle Creek, MI 49037, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP8QW7+9J","8QW7+9J, 49037 Battle Creek, United States","-0.8399999999999999","1.8388365223200902","1","1","1","full_match","516a15fda1194f55c059fe45d098492c4540f00102f9017079233600000000c00203","","","","","","","","","",""
"3423 Plainfield Ave NE, Grand Rapids, MI 49525","3423","plainfield ave ne","49525","grand rapids","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kent County","Grand Rapids","","49525","Plainfield Avenue Northeast","3423","-85.6327740669252","43.02505937884203","MI","","building","3423 Plainfield Avenue Northeast, Grand Rapids, MI 49525, United States of America","3423 Plainfield Avenue Northeast","Grand Rapids, MI 49525, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MP29G8+2V","29G8+2V, 49525 Grand Rapids, United States","-0.8399999999999999","2.400914311381481","1","1","1","full_match","51d7cccc5e7f6855c059d44a4e2535834540f00102f901f667d12900000000c00203","","","","","","","","","",""
"11815 Joseph Campau AVE, Hamtramck, MI 48212","11815","joseph campau ave","48212","hamtramck","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Hamtramck","","48212","Joseph Campau Street","11905","-83.0629878","42.4039745","MI","Hamtramck","building","Polish-American Federal Credit Union, 11905 Joseph Campau Street, Hamtramck, MI 48212, United States of America","Polish-American Federal Credit Union","11905 Joseph Campau Street, Hamtramck, MI 48212, United States of America","service.financial.bank","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRCW3P+HR","3P+HR Hamtramck, Wayne County, United States","0.00000999999999995449","4.187700161847187","0.5","1","1","full_match","510243fbfd07c454c0597ff5b86fb5334540f00103f9011ffcd41402000000c00203920324506f6c6973682d416d65726963616e204665646572616c2043726564697420556e696f6ee203256f70656e7374726565746d61703a616464726573733a6e6f64652f38393339343337303837","","Polish-American Federal Credit Union","Joseph Campau Historic District","","","","","","",""
"120 N. Main ST, Camden, MI 49232","120","n. main st","49232","camden","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Hillsdale County","Camden","","49232","North Main Street","120","-84.75768304081633","41.7559157755102","MI","","building","120 North Main Street, Camden, MI 49232, United States of America","120 North Main Street","Camden, MI 49232, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQQ64R+9W","","-0.74","1.7161049165232198","1","1","1","full_match","518f4202e17d3055c059642c1fd9c1e04440f00102f90190a50f0100000000c00203","","","","Camden Township","","","","","",""
"7555 Greenfield RD, Detroit, MI 48228","7555","greenfield rd","48228","detroit","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Detroit","","48228","Greenfield Road","7555","-83.19656194117647","42.34766041176471","MI","","building","7555 Greenfield Road, Detroit, MI 48228, United States of America","7555 Greenfield Road","Detroit, MI 48228, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR8RX3+39","8RX3+39 Detroit, Wayne County, United States","-0.73","4.418393305020321","1","1","1","full_match","51703f897894cc54c0595852e922802c4540f00102f901ce25251900000000c00203","","","","","","","","","",""
"2918 Blue Star HWY, Douglas, MI 49406","2918","blue star hwy","49406","douglas","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Allegan County","Douglas","","49406","Blue Star Highway","2918","-86.212334","42.630391","MI","Douglas","building","2918 Blue Star Highway, Douglas, MI 49406, United States of America","2918 Blue Star Highway","Douglas, MI 49406, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JMJQJQ+53","JQ+53, 49406 Douglas, United States","","1.8436227559922707","1","1","1","full_match","510c7558e1968d55c059ac58fca6b0504540c00203e203496f70656e6164647265737365733a616464726573733a75732f6d692f616c6c6567616e2d6164647265737365732d636f756e74792e6373763a36376431396538666237376262316530","","","","","","","","","",""
"1839 Peck ST, Suite B, Muskegon, MI 49441","1839","peck st","49441","muskegon","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Muskegon County","Muskegon","","49441","Peck Street","1839","-86.2444676451613","43.21903606451613","MI","","building","1839 Peck Street, Muskegon, MI 49441, United States of America","1839 Peck Street","Muskegon, MI 49441, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MM6Q94+J6","6Q94+J6 Muskegon, Muskegon County, United States","-0.8399999999999999","1.6125519538008604","1","1","1","full_match","5177399f5ba58f55c059e4deae5f099c4540f00102f901f6ee033500000000c00203","","","","","","","","","",""
